year,ALL_allpub,ALL_Q12pub,ALL_Q1pub,ALL_top10pub,FA_allpub,FA_Q12pub,FA_Q1pub,FA_top10pub,LA_allpub,LA_Q12pub,LA_Q1pub,LA_top10pub
-10,4.666666667,4.066666667,2.866666667,0.866666667,-0.933333333,-0.933333333,-0.933333333,-0.933333333,3.4,3,2.4,1
-10,2.125,2,1.375,0.875,-0.5,-0.5,-0.5,0.125,1.5,1.375,1,0.5
-9,6.666666667,6.066666667,3.866666667,1.2,0.066666667,0.066666667,-0.933333333,-0.6,3.066666667,2.666666667,2.066666667,0.666666667
-9,3.2,3.3,2.7,3.2,0.45,0.7,0.7,1.2,2,1.8,1.8,1.2
-9,-2,-1,-2,-3,-2,-1,-1,-1,-1,0,-1,-1
-9,1.675,1.55,1.325,0.875,-0.95,-0.95,-0.55,0.125,1.5,1.375,1,0.5
-9,6,6.5,4,1,0.5,0.5,0.5,-1,3,3.5,3,2.5
-9,-2.666666667,-2.666666667,-3,-3.666666667,1,1,1,0.666666667,0,0,0,0
-8,7.714285714,6.714285714,6.857142857,3.857142857,1,1,1,1,0.142857143,-0.714285714,-0.142857143,-1.285714286
-8,3.466666667,3.466666667,2.866666667,1.4,1.666666667,1.666666667,1.466666667,0.6,0.6,0.6,0.2,0
-8,7.4,6.8,4.8,0,1.4,1.4,1.6,-0.2,3,2.6,2,0.8
-8,1,2,0,0,1,1,0,0,0,0,0,0
-8,1.2,1.05,0.45,0.95,-1.05,-0.8,-0.8,-0.55,2,1.8,1.8,1.2
-8,-3,-2,-3,-2,-3,-2,-2,-1,-2,-1,-1,-1
-8,2.541666667,2.416666667,1.791666667,0.708333333,-0.083333333,-0.083333333,-0.083333333,-0.041666667,1.5,1.375,1,0.5
-8,3.5,4,1.5,1,-2.5,-2.5,-2.5,-1.5,3.5,4,3.5,3
-8,-2.666666667,-1.666666667,-2,-2.666666667,1,1,1,0.666666667,0,0,0,0
-7,1.25,1,0.5,-0.25,1,0.75,0.25,0,1.75,1.75,1.5,1
-7,-12,-11,-9,-7,-8,-8,-7,-5,0,0,0,0
-7,5,5,5,5,5,5,5,5,0,0,0,0
-7,1.25,1,2.25,2,1.25,1.25,1.25,1.25,-2,-2,-0.25,0.25
-7,4.314285714,3.514285714,3.657142857,0.057142857,-0.2,0,0,-0.8,0.142857143,-0.714285714,-0.142857143,-1.285714286
-7,3.55,3.3,2.7,0.9,1,1.5,1.3,0.1,0.6,0.6,0.2,0
-7,-2.5,-0.5,0.5,-0.25,-2,-2,-1.5,-1.25,2.5,2.5,2.25,1.25
-7,6,4.4,2.2,0.4,0.6,0.6,-0.4,-0.4,3.2,2.8,2.2,0.8
-7,0,2,1,0,-1,0,0,0,0,0,0,0
-7,2,1.6,1,1.8,-0.4,-0.4,-0.4,0,2,1.8,1.8,1.2
-7,-1,-1,-2,-3,-2,-2,-2,-2,-1,0,-1,-1
-7,2.541666667,2.583333333,1.958333333,0.708333333,0.083333333,0.25,0.25,0.125,1.5,1.375,1,0.5
-7,-0.5,1.5,2,3,0.5,0.5,0.5,0.5,-0.5,1.5,0,2
-7,5,5.5,3.5,2,-0.5,-0.5,-0.5,-0.5,3.5,4,3.5,3
-7,-3,-3,-2.333333333,-3,0.333333333,0.333333333,1,0.666666667,0,0,0,0
-6,-1,0,0,0,0,0,0,0,-1,0,0,0
-6,2.5,2.5,2.5,1.5,1,1,1,1,0.5,0.5,0,0
-6,-4.5,-3.5,-3,-2,-2,-1,-1,-1,-0.5,0.5,0,0
-6,-8.166666667,-7.166666667,-4,-4,-1.333333333,-0.333333333,-0.333333333,-1,-4,-4,-2,-1
-6,-0.25,-0.5,-1,-1.75,0,-0.25,-0.75,-1,1.25,1.25,1,0.5
-6,1.05,1.05,1.05,1.05,1.8,1.8,1.8,1.8,0,0,0,0
-6,-7,-7,-6,-5,-4,-4,-4,-3,0,0,0,0
-6,1,1,1,2,-1,-1,-1,0,0,0,0,0
-6,-1,-0.333333333,-0.75,-0.75,-0.666666667,-0.333333333,0,0,0.25,0.25,0,0
-6,-0.3,-0.3,0.7,0.2,-1.35,-1.35,-1.35,-1.55,0.8,0.8,0.8,0.2
-6,2.5,2.5,2.5,2,1.5,1.5,1.5,1.5,0,0,0,0
-6,1,1,1,2,0,0,0,1,0,0,0,0
-6,2.083333333,2.083333333,1.083333333,0.916666667,-0.666666667,-0.666666667,-0.666666667,-0.333333333,3.25,3.25,2.25,1.75
-6,-0.25,0,1.5,1.5,0.25,0.25,0.5,0.75,-2,-2,-0.25,0.25
-6,10,9,8.285714286,3.428571429,-0.142857143,-0.142857143,-1,-1,0.142857143,-0.714285714,-0.142857143,-1.285714286
-6,2.2,2.4,1.8,1.4,0.6,0.6,0.4,0.6,0.6,0.6,0.2,0
-6,2.5,3.5,2.5,1.083333333,0.5,0.5,0.5,0.25,2.5,2.5,2.25,1.25
-6,3.4,3.2,2.4,1.6,0.2,0.2,0.4,0.8,1.4,1.2,0.8,-0.2
-6,-1,1,0,0,0,0,0,0,-1,0,0,0
-6,0.333333333,0.333333333,0.333333333,0,-0.666666667,-0.666666667,-0.666666667,-0.666666667,0,0,0,0
-6,6.5,6.5,6.75,3,1.25,1.25,1.5,0.5,0.75,0.75,0.75,0.5
-6,0.6,0.6,0.4,0.8,-0.6,-0.4,0,0.2,1,1,1.4,0.8
-6,4,5,5,1,1,2,2,1,3,3,3,0
-6,-2.666666667,-1.666666667,-1,-2,1,2,1.666666667,0.666666667,-1,-1,0,0
-6,-2,-4,-4,-2,-1,-3,-3,-1,-2,-1,-1,-1
-6,3.446428571,3.321428571,2.839285714,1.732142857,-0.035714286,-0.035714286,0.107142857,0.125,1.5,1.375,1,0.5
-6,-2.5,-0.5,0,1,-1,-1,-1,-1,-0.5,1.5,0,2
-6,2.5,3.5,3,2.5,-2,-1.5,-1,0,2.5,3,3.5,3
-6,-1.666666667,-1.666666667,-2,-2.666666667,1,1,1,0.666666667,0,0,0,0
-5,-2,0,0,0,-1,0,0,0,0,0,0,0
-5,2.5,3,2.5,1,0.5,0.5,0.5,0,1.5,1.5,1,1
-5,-5,-3.5,-3,-2,-2,-1,-1,-1,-1,0.5,0,0
-5,-9,-8,-5.333333333,-4.333333333,-0.666666667,0.333333333,0.333333333,-1.333333333,-4,-4,-2,-1
-5,0,0,-2,-3,0,0,-1,-1,-2,-2,-2,-2
-5,0,-0.25,-0.5,-1.25,0.25,0,-0.25,-0.5,1.75,1.75,1.5,1
-5,2,2,2,1,1.6,1.6,1.6,1.6,0,0,0,0
-5,1.5,1.5,1.5,1.5,0.5,0.5,0.5,0.5,0,0,0,0
-5,0.5,0,-0.5,-0.5,-1,-1,-1,-1,3,2.5,2,1
-5,6.4,6.2,5.2,4.2,2.6,2.6,2.4,2.4,1.8,1.8,1.2,0.8
-5,6,6,5,8,4,4,3,2,-4,-4,-4,0
-5,-5,-5,-7,-6,-1,-1,-4,-3,-1,-1,-1,-1
-5,-1,-1,-1,0,-1,-1,-1,0,0,0,0,0
-5,-0.333333333,0.333333333,-0.75,-0.75,0.333333333,0.666666667,0,0,0.25,0.25,0,0
-5,1.833333333,1.5,1.5,1.5,1.166666667,0.833333333,0.833333333,0.833333333,0,0,0,0
-5,3,3,2,3,0,0,0,0,0,0,0,0
-5,1.8,1.8,2.8,0.2,-0.2,-0.2,-0.2,-1.2,0.8,0.8,0.8,0.2
-5,3,3,4,5,-5,-5,-4,-2,6,6,6,4
-5,2,2,2,0.5,1,1,1,0,0,0,0,0
-5,5,5,4,4,4,4,3,3,0,0,0,0
-5,3.25,3.25,2.25,1.75,0.75,0.75,0.75,0.75,3.25,3.25,2.25,1.75
-5,-3,-1,-1,-1,-2,-1,-1,0,-1,1,1,1
-5,-0.5,-0.5,1.25,0.5,-0.25,-0.25,-0.25,0,-1,-1,0.75,0.25
-5,4.142857143,3.142857143,3.285714286,0,0.428571429,0.428571429,0.428571429,-0.285714286,0.142857143,-0.714285714,-0.142857143,-1.285714286
-5,0.333333333,0,0.166666667,0.666666667,0.833333333,0.5,1,1,0,0,0,0
-5,2.6,1.6,1.2,0.6,0.6,0.6,0.4,0.2,0.6,0.6,0.2,0
-5,1,2.25,1.5,0.5,0,0,0,0,2,2,1.75,1
-5,4.2,4.2,2.2,0.8,-0.4,-0.2,0,0.2,2.8,2.4,1.8,0.6
-5,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,0
-5,0.333333333,0.666666667,0.666666667,-0.666666667,-2,-2,-2,-2,0,0,0,0
-5,4.833333333,4.166666667,3.916666667,2.166666667,0.916666667,-0.083333333,-0.333333333,0,0.75,0.75,0.75,0.5
-5,-0.5,-0.5,-0.5,0.5,1,1,1,1,0.5,0.5,0.5,0.5
-5,1.8,2,2.4,1.8,0.2,0.6,0.8,0,1.4,1.4,1.6,1
-5,-1,-1,0,0,-1,-1,-1,0,1,1,2,0
-5,-0.666666667,0.333333333,1,-2,1,2,1.666666667,0.666666667,-1,-1,0,0
-5,-3,-1,-2,-2,-1,0,-1,-1,-3,-1,-1,-1
-5,1.375,1.625,1,0.125,-0.5,-0.375,-0.375,-0.25,1,1,0.625,0.375
-5,-1,-1,-1,0,0,0,0,0,1,1,1,1
-5,-1,1,1.5,3,1,1,1,1,-0.5,1.5,0,2
-5,2.5,4,4,1.5,0,0,1,0,2.5,3.5,3.5,3
-5,0.214285714,0.214285714,0.571428571,-0.571428571,-0.214285714,-0.214285714,0.142857143,-0.857142857,0.142857143,0.142857143,0.142857143,0
-5,-0.333333333,-0.333333333,-0.333333333,-3,1.333333333,1.333333333,1.666666667,0.333333333,0,0,0,0
-4,1,1,0,-1,1,2,2,1,0,0,0,0
-4,-4,-4,-4,-2,-3,-3,-3,-2,0,0,0,0
-4,4,3,1,1,2,2,1,1,0,0,0,0
-4,1.5,1.5,1,-0.5,-1.5,-1.5,-1.5,-1,0.5,0.5,0,0
-4,-4.25,-4.25,-3.5,-3.5,0,0,0.25,0.25,-0.25,-0.25,0.25,0.25
-4,-1,-2,-3,-2,0,0,-1,-1,2,1,0,0
-4,-6.666666667,-6.666666667,-6,-3.333333333,-2,-1,-1,-1,-3,-3,-1,0
-4,2,2,1,-2,3,3,2,0,-2,-2,-2,-2
-4,6.5,7.5,5.5,3,0,0,0,0,0.5,0.5,0.5,0.5
-4,8,7,5,0,3,4,4,0,1,1,0,0
-4,2,2,2,0.25,0.75,0.75,0.75,0.5,1.75,1.75,1.5,1
-4,2,2,1.5,1.5,3,3,2.5,2.5,0.5,0.5,0.5,0.5
-4,-0.6,-0.6,-0.2,-0.2,0.4,0.4,0.4,0.4,0,0,0,0
-4,-2.5,-2.5,-2.5,-2,0,0,0,0,0,0,0,0
-4,1.5,1.5,1.5,1.5,0.5,0.5,0.5,0.5,0,0,0,0
-4,0.5,0,-0.5,-0.5,-1,-1,-1,-1,3,2.5,2,1
-4,-1.5,-1.5,-1,0,-0.5,-0.5,-0.5,0,0,0,0,0
-4,-12,-11,-9,-5,-1,-1,-2,-1,0,0,0,0
-4,4.533333333,4.666666667,3.666666667,3.066666667,1.266666667,1.6,1.4,1.266666667,0.466666667,0.466666667,0.466666667,-0.133333333
-4,1,0.5,0,0,1,0.5,-0.5,-0.5,1,0.5,0,0
-4,1,1,1,2,0,0,0,1,0,0,0,0
-4,4.4,4.2,3.2,2.866666667,0.933333333,0.933333333,0.733333333,1.066666667,1.8,1.8,1.2,0.8
-4,-1,-1,1,3,1,1,2,1,-4,-4,-4,0
-4,4,4,4,2,-1,-1,-1,-1,5,5,5,2
-4,-6,-5,-5,-4,-3,-3,-3,-2,0,0,0,0
-4,1,1,1,3,-2,-2,-2,0,0,0,0,0
-4,0.833333333,0.5,0.166666667,-0.833333333,0.833333333,0.5,0.166666667,-0.833333333,0.666666667,0.333333333,0,0
-4,-1,1,-2,0,2,3,0,0,-2,-1,-1,-1
-4,0.5,-0.25,-0.75,-0.75,-0.25,-0.25,0,0,0.25,0.25,0,0
-4,2.666666667,2.333333333,2.333333333,0.333333333,1.666666667,1.333333333,1.333333333,-0.666666667,0,0,0,0
-4,2,2,2,2,0,0,0,0,0,0,0,0
-4,0,0.4,1.6,0.8,-0.6,-0.2,-0.2,-0.2,0.6,0.6,0.6,0
-4,5,5,6,5,-2,-2,-1,0,6,6,6,4
-4,0,0,1,0.5,-0.5,-0.5,0.5,0.5,0,0,0,0
-4,4.5,4.5,3,2.5,3,3,2.5,2.5,1.5,1.5,0.5,0.5
-4,0,0,0,1,-2,-2,-1,0,0,0,0,0
-4,2.25,2.25,1.5,1.25,0,0,0.25,0.25,3,3,2,1.5
-4,3,3,2,0,0,-1,-1,0,-1,1,1,1
-4,0,-0.333333333,-0.333333333,0,-0.666666667,-0.666666667,-0.666666667,0,0.666666667,0.666666667,0.666666667,0
-4,-4,-4,-4,1,-7,-7,-7,-1,2,2,2,2
-4,3,3,3,1,1,1,1,0,0,0,0,0
-4,-1,-1.25,0.75,0.75,-0.75,-0.75,-0.25,0,-2.25,-2.25,-0.25,0.25
-4,4.857142857,4,3.142857143,0.428571429,-0.857142857,-0.714285714,-0.714285714,-0.571428571,0.142857143,-0.714285714,-0.142857143,-1.285714286
-4,-1.333333333,-0.666666667,-1,-0.666666667,0,0,0,0.333333333,0,0,0,0
-4,2.4,2.6,2.2,1,1.6,1.8,1.6,0.6,0.4,0.4,0.2,0
-4,3.75,5,3,1.75,3,3.25,2.25,2,1.5,1.5,1.25,0.5
-4,1.5,2,1.5,2.5,0.5,0.5,0,0,2,2,1.5,2.5
-4,5,4.8,2.6,0.4,-0.6,-0.4,-0.4,0,2,1.8,1.2,0
-4,0,1,0,0,0,0,-1,-1,0,0,0,0
-4,-0.666666667,0,0,-0.333333333,-2,-2,-2,-2,0,0,0,0
-4,2.25,2.25,2,1,0,0,-0.25,-0.25,0.5,0.5,0.5,0.5
-4,0.5,0.5,0.5,-0.5,2.5,2.5,2.5,0.5,0.5,0.5,0.5,0.5
-4,4.25,4,3.25,2.75,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25
-4,-4.5,-4.5,-4.5,-4.5,-2,-2,-2,-2,-0.5,-0.5,-0.5,-1
-4,2.2,1.8,0.8,1.6,0.2,0.2,0.2,0.2,0.8,0.6,1,0.8
-4,0,0,0.5,0.5,-1,-1,-1,-1,0,0,0,0
-4,0,0,1,0,0,0,0,0,0,0,1,0
-4,-1.333333333,-1.333333333,0.333333333,-1.333333333,1.666666667,1.666666667,1.333333333,0.666666667,-1,-1,0,0
-4,-2,-2,-1,0,0,0,0,1,0,0,0,0
-4,3.933333333,3.433333333,2.766666667,-0.533333333,-0.433333333,-0.433333333,-0.433333333,-0.433333333,-0.066666667,-0.066666667,-0.233333333,-0.2
-4,-4,-3,-3,-2,-4,-2,-2,-1,-2,-1,-1,-1
-4,7,7,2.5,0.75,1.75,1.75,0.25,0,0.5,0.5,0.5,0.25
-4,2.25,2.5,2.625,0.25,0.625,0.75,0.875,0,0,0,-0.125,0
-4,-5,-5,-5,-3,-1,-1,-1,0,0,0,0,0
-4,-3,-1,-0.5,2.5,0.5,0.5,0.5,0.5,-1.5,0.5,-1,2
-4,2.5,4,2.5,1.5,-1,-1,-0.5,-0.5,2,3,2.5,2.5
-4,10.5,7.5,5,4.5,3,2,1.5,0,4.5,4.5,3,2
-4,-4,-4,-3,-2,-1,-1,0,0,-1,-1,-1,0
-4,-1.619047619,-0.619047619,-0.095238095,-0.238095238,-1.047619048,-0.380952381,0.142857143,0.142857143,-0.19047619,-0.19047619,-0.19047619,-0.333333333
-4,-1,-1,-0.666666667,-1.333333333,1.333333333,1.333333333,1.666666667,1.333333333,-0.333333333,-0.333333333,0,0
-4,2,2,0,0,-1,-1,-1,0,1,1,0,0
-3,12,9,6,5,1,1,1,0,0,0,0,0
-3,1,1,1,0,1,1,1,0,1,1,1,0
-3,0,0,0,0,-2,-2,-2,-1,0,0,0,0
-3,0,0,-2,-2,-1,-1,-2,-2,0,0,0,0
-3,6,5,5,4,0,0,0,1,1.5,0.5,0,0
-3,-3.25,-2.75,-2.5,-4.25,0.75,1.25,1.5,-0.25,0.25,0.25,0.25,0.25
-3,1.5,0.5,-1,0,2,2,0,0,4.5,3.5,2,2
-3,-4,-2.666666667,-5,-3,-0.666666667,0.666666667,-0.333333333,-1,-4,-4,-2,-1
-3,2,2,1,-3,2,2,1,-1,-2,-2,-2,-2
-3,11,11,9.5,6.5,2.5,2.5,2.5,3,0.5,0.5,0.5,0.5
-3,-5,-3,-4.333333333,-1.666666667,-2.333333333,-2.333333333,-3.666666667,-2,0,0,0,0
-3,5,3,1,0,1,1,1,0,1,1,0,0
-3,2.666666667,2,0,0.666666667,1,1,-1,0,0.666666667,0,0,0
-3,1.25,1,1,0.25,1.25,1,1,0.75,1.5,1.5,1.25,0.75
-3,-1.5,-1.5,-2,-2.5,-0.5,-0.5,-1,-1,1,1,1,1
-3,1.5,-0.5,-1,-1,-0.5,-0.5,-1,-1,1,0,0,0
-3,0.833333333,0.833333333,1.166666667,0.833333333,0.333333333,0.333333333,0.666666667,0.666666667,0,0,0,0
-3,0.4,0.6,0.6,0.6,0.4,0.4,0.4,0.4,-0.2,-0.2,-0.2,-0.2
-3,-1,-1,-1,-1.5,0,0,0,0,0,0,0,0
-3,0,0,0,0,0,0,0,0,0,0,0,0
-3,1,1,0.5,1,0.5,0.5,0.5,0.5,3,2.5,2,1
-3,-0.5,-0.5,0,0.5,0.5,0.5,0.5,1,0,0,0,0
-3,2,2,1.333333333,0.666666667,0.333333333,0.333333333,0.333333333,0.333333333,1,1,0.666666667,0.333333333
-3,-0.333333333,-0.333333333,-0.666666667,-1,0,0,0,0,0,0,0,0
-3,4.1,3.35,4.15,3.6,-1.2,-1.2,0.8,-0.35,1.2,1.2,1.2,1
-3,-10,-9,-7,-4,0,0,-1,-1,0,0,0,0
-3,-6,-5,-6,-2,1,2,1,1,2,2,0,1
-3,4.95,4.75,3.75,2.4,1.35,1.35,1.15,0.6,0.05,0.05,0.05,0.2
-3,-1,-1,2.5,0.5,-1,-1,2,0,-1,-1,0,0
-3,1,2,2,2,-1,-1,-1,0,0,0,0,0
-3,2.6,2.4,1.4,1.2,-0.2,-0.2,-0.4,0.2,1.8,1.8,1.2,0.8
-3,-3,-3,-2,1,0,0,1,0,-4,-4,-4,0
-3,2,2,2,-1,-3,-3,-3,-3,5,5,5,2
-3,-3,-3,-3,-4.5,-3,-3,-3,-3,0.5,0.5,0.5,0
-3,-6,-6,-5,-5,-4,-4,-4,-3,0,0,0,0
-3,-1,-1,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1
-3,1.5,0.5,-0.5,-0.5,1,0,0,0,0,0,0,0
-3,2.333333333,2,1.666666667,-0.333333333,2.333333333,2,1.666666667,-0.333333333,0.666666667,0.333333333,0,0
-3,2.5,2.5,-0.5,-1,0.5,0.5,-1,-1.5,0,0,0,0
-3,3,4,-1,0,4,4,-1,0,-1,0,0,0
-3,-0.5,-0.5,-1,-1,-0.5,-0.5,-0.25,-0.25,0.25,0.25,0,0
-3,1.333333333,1.666666667,1.666666667,2,1,1,1,1,0,0,0,0
-3,-3,-3,-3,-2,-2,-2,-2,-1,0,0,0,0
-3,4,4,3,4,0,0,0,0,0,0,0,0
-3,-0.6,-0.6,0.8,0.4,-1.8,-1.8,-1.6,-1.4,0.8,0.8,0.8,0.2
-3,5,5,6,6,-2,-2,-1,0,6,6,6,4
-3,-0.5,-0.5,1.5,1.5,-1.5,-1.5,0.5,1,0,0,0,0
-3,5.5,5.5,4,3.5,3,3,2.5,2.5,1.5,1.5,0.5,0.5
-3,3,3,3,2,0,0,0,0,0,0,0,0
-3,3.5,3.5,4.5,2,0.5,0.5,1.5,0.5,0,0,0,0
-3,1,1.25,0.75,0.25,-0.75,-0.75,-0.25,-0.25,2,2,1,0.5
-3,1,2,3,1,-1,-1,0,0,-1,1,1,1
-3,0,0,0,1,0,0,0,1,0,0,0,0
-3,-0.333333333,-0.666666667,-1.666666667,-0.666666667,-2.333333333,-2.333333333,-2.333333333,-1,1.666666667,1.666666667,0.666666667,0.333333333
-3,-4,-4,-3,-2,-2,-3,-3,-3,-1,0,0,1
-3,-5,-5,-4,1,-7,-7,-6,-1,2,2,2,2
-3,-2,-2,-2,-3,0,0,0,0,0,0,0,0
-3,3,3,2.5,3,-0.25,-0.25,-0.25,0.25,1.5,1.75,1.75,2.25
-3,-0.666666667,-1,-1,-1.333333333,-1.333333333,-1.666666667,-1.666666667,-1.666666667,0,0,0,0
-3,2,1.666666667,1.666666667,0.333333333,-1,-1,-1,-1,-0.666666667,-0.666666667,-0.666666667,-1
-3,5.142857143,4.428571429,3,0.428571429,1.285714286,1.285714286,1.285714286,1.571428571,1.857142857,1.142857143,0.714285714,-1.285714286
-3,4,3,5,3,1,1,2,1,0,0,0,0
-3,0.333333333,0,-0.333333333,0,0.666666667,0.333333333,0.333333333,0.666666667,0,0,0,0
-3,3,3,2.6,1.4,2,2,1.8,0.6,0.2,0.2,-0.2,0
-3,6.25,7.25,6.25,3.75,1,1,1,0.75,1.75,1.75,1.5,0.75
-3,0.5,0.5,0,1.5,0,0,-0.5,0,0.5,0.5,0,1.5
-3,5.8,5.2,3,1.8,0.8,0.8,0.8,0.8,2.4,2,1.4,0.6
-3,-1,0,-1,0,0,0,0,0,0,0,0,0
-3,-2,-2,-2,-1.333333333,-3,-3,-3,-2.333333333,0,0,0,0
-3,1,1.5,2,0.5,-0.75,-0.5,-0.5,-0.25,0.5,0.5,0.5,0.5
-3,-1,-1,-1,0,0,0,0,0,0.5,0.5,0.5,0.5
-3,1,0.75,0.25,-0.25,-1.5,-1.5,-1.5,-1.5,0,0,0.25,0.25
-3,-6.5,-6,-6,-4.5,-3,-2.5,-2.5,-1.5,-0.5,-0.5,-0.5,-1
-3,2.6,2.2,1.8,2.4,-0.6,-0.6,-0.4,-0.4,1.6,1.4,1.4,1
-3,3,3,3,3,0,0,0,0,0,0,0,0
-3,0,0,1,-1,0,0,0,0,-1,-1,0,-1
-3,-2.333333333,-1.333333333,0.333333333,-1.666666667,-0.666666667,0.333333333,0,0,-1,-1,0,0
-3,-1,-1,-1,-1,0,0,0,0,0,0,0,0
-3,1.833333333,2,2.166666667,-0.166666667,-1.5,-1,-0.833333333,-0.833333333,0,0,-0.166666667,-0.333333333
-3,-3,-3,-1,-1,0,0,0,0,-3,-3,-1,-1
-3,0.333333333,0.666666667,0.666666667,1.416666667,-0.166666667,0.166666667,0.166666667,0.916666667,0,0,0,0
-3,0.416666667,0.416666667,-1.333333333,-2.25,1.833333333,1.833333333,0.583333333,-0.333333333,0.25,0.25,0,0
